[
(2.7341966235116394e-05, 3.874156648023524e-05, 0.023659143512049008),
(4.870277691885564e-11, -9.628853849682495e-31, 2.715243905036403e-09),
(5.590193690536977e-06, 2.8207502058285743e-06, 0.014857008685151107),
(2.530277405210198e-05, 4.871612834466549e-05, 0.02222926809855652),
(2.6590155315103173e-05, 4.175207409455508e-05, 0.021801551363875404),
(7.960002366609294e-06, 4.8641235203975095e-06, 0.022573331204663205),
(-3.345968403559913e-14, -4.654256841849451e-17, 4.488558599323331e-12),
(3.923591678940859e-05, 6.852520474262113e-05, 0.023027899058114976),
(1.9598734693033283e-06, 2.2920425633377126e-06, 0.001769172523999829),
(1.5858801784856237e-07, 1.3639074204270206e-07, 0.00014691503165878937),
(9.695289987483502e-13, 2.7574485659464534e-12, 2.401990060914362e-09),
(8.772978550766239e-08, 1.7466098351530247e-07, 7.313390911324602e-05),
(4.820721921194978e-48, 1.308891697311704e-46, 1.979314431042179e-31),
(-4.67169233021384e-25, 2.926969632047548e-24, 1.2555292033026367e-08),
(-0.00010752004321677375, -1.3456712990067609e-06, 0.023678889384291857),
(-9.318428004480103e-21, -3.628689384304597e-22, 2.8307535726652466e-20),
(4.601015837974939e-06, 3.230660796269165e-06, 0.004105304819431055),
(-1.5013218320170413e-23, 8.737969130268326e-25, 2.7538944423959597e-22),
(1.1363878092961373e-05, 6.427298602662234e-07, 0.015225119076792082),
(2.4019488435644007e-20, 2.196385799153002e-19, 7.278898052325255e-17),
(-1.4208959811718965e-05, 1.4292732067468553e-05, 0.0020991819510098736),
(-3.6496181620019964e-11, 4.16332443973235e-27, 8.489335022885776e-07),
(4.223465286468109e-05, 2.1160898776267922e-05, 0.03405379516541984),
(3.1011004798045207e-13, -3.49589518097249e-12, 1.7898868084252665e-09),
(2.7437601808645616e-05, 1.7732523408576367e-05, 0.022526039468066195),
(-9.118597981069315e-43, 4.199851810591174e-45, -1.5036236878918837e-26),
(6.401751641156171e-06, 8.917103777333403e-06, 0.021603984803626908),
(3.2013948386523834e-05, 5.174223026693445e-05, 0.027996554646207983),
(7.347204193880442e-06, 3.4857821473571738e-06, 0.019519870280890528),
(6.444865110555656e-06, 8.490958799267515e-06, 0.02234650027355123),
(1.3023973795300575e-10, 1.329282240904497e-10, 5.3645530932708204e-08),
(7.594382995954269e-07, 9.556413082921359e-07, 0.0010227377119065295),
(-5.559245259271865e-05, 3.7678324976442865e-06, 0.020251083522323743),
(6.082581107117352e-17, 7.663224034326357e-17, 2.0513295305234012e-14),
(-1.786377614992185e-23, 8.244390501736572e-24, 3.902978868301751e-21),
(4.4858488653592205e-11, -8.15951146214426e-15, 8.325234847096155e-07),
(2.9062069812207936e-05, 1.955929156402525e-05, 0.02399538916638022),
(1.8380940514562158e-10, 2.5321117442051837e-10, 2.7801979295141995e-07),
(7.532604886615062e-06, 5.471085224231483e-06, 0.024674914502060386),
(1.8313750316904798e-05, 1.1114252996950215e-05, 0.02481973431476714),
]
